Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,1247.500000,1255.525024,1226.425049,1239.224976,1106.380005,215700
2017-09-29,1239.224976,1241.724976,1210.324951,1218.500000,1087.876709,190728
2017-10-03,1217.500000,1227.724976,1214.000000,1223.525024,1092.362793,332914
2017-10-04,1235.000000,1235.000000,1214.500000,1221.275024,1090.354248,264880
2017-10-05,1221.000000,1221.275024,1212.500000,1215.074951,1084.818604,224568
2017-10-06,1214.000000,1227.025024,1213.800049,1222.574951,1091.514404,48416
2017-10-09,1224.000000,1233.500000,1221.300049,1226.275024,1094.818115,40918
2017-10-10,1230.000000,1235.300049,1226.050049,1229.775024,1097.942749,288744
2017-10-11,1230.000000,1256.675049,1228.849976,1250.250000,1116.223022,254368
2017-10-12,1250.525024,1277.500000,1250.525024,1274.275024,1137.672363,373754
2017-10-13,1274.949951,1302.800049,1262.500000,1278.375000,1141.333008,187026
2017-10-16,1278.375000,1295.000000,1278.000000,1292.550049,1153.988403,85992
2017-10-17,1293.000000,1306.474976,1290.550049,1297.500000,1158.407593,62332
2017-10-18,1295.000000,1305.949951,1290.000000,1294.525024,1155.751709,32266
2017-10-19,1294.525024,1297.474976,1285.425049,1290.474976,1152.135742,10286
2017-10-23,1290.500000,1312.525024,1277.500000,1292.974976,1154.368042,182860
2017-10-24,1305.000000,1309.500000,1285.224976,1290.300049,1151.979614,29186
2017-10-25,1291.000000,1305.500000,1279.375000,1280.875000,1146.674927,26314
2017-10-26,1280.000000,1283.199951,1262.800049,1271.500000,1138.282349,47864
2017-10-27,1272.500000,1295.000000,1267.199951,1289.599976,1154.485962,59322
2017-10-30,1290.000000,1309.000000,1290.000000,1306.500000,1169.615723,85514
2017-10-31,1297.525024,1317.449951,1297.525024,1308.150024,1171.092529,71600
2017-11-01,1311.000000,1311.000000,1290.550049,1301.250000,1164.915649,50706
2017-11-02,1293.250000,1335.000000,1293.250000,1312.900024,1175.345093,80876
2017-11-03,1315.000000,1317.500000,1302.125000,1306.349976,1169.481323,35902
2017-11-06,1305.000000,1336.474976,1305.000000,1333.500000,1193.786987,74320
2017-11-07,1335.500000,1371.800049,1334.000000,1354.175049,1212.295898,232088
2017-11-08,1364.000000,1376.550049,1359.824951,1365.224976,1222.187622,61182
2017-11-09,1375.000000,1375.000000,1356.775024,1366.925049,1223.709839,62778
2017-11-10,1358.500000,1364.974976,1347.750000,1351.650024,1210.034912,18128
2017-11-13,1351.500000,1387.000000,1350.000000,1379.449951,1234.922607,134728
2017-11-14,1379.000000,1379.000000,1353.275024,1358.375000,1216.055420,59444
2017-11-15,1357.500000,1374.974976,1351.400024,1353.074951,1211.310913,49182
2017-11-16,1353.500000,1380.500000,1345.000000,1373.300049,1229.416748,132358
2017-11-17,1379.500000,1379.500000,1353.000000,1355.050049,1213.079102,30136
2017-11-20,1359.050049,1362.824951,1348.474976,1352.324951,1210.639404,48444
2017-11-21,1352.375000,1352.375000,1335.000000,1338.324951,1198.106079,32314
2017-11-22,1335.000000,1354.699951,1335.000000,1341.599976,1201.037964,147484
2017-11-23,1342.050049,1347.125000,1336.324951,1341.375000,1200.836426,33170
2017-11-24,1337.000000,1353.000000,1337.000000,1344.375000,1203.522217,42346
2017-11-27,1338.500000,1345.699951,1332.599976,1343.525024,1202.761353,35470
2017-11-28,1343.500000,1348.750000,1336.125000,1342.449951,1201.799072,164746
2017-11-29,1339.900024,1346.150024,1325.500000,1329.275024,1190.004395,27624
2017-11-30,1329.000000,1334.275024,1312.500000,1317.125000,1179.127441,36504
2017-12-01,1318.500000,1334.474976,1312.500000,1315.275024,1177.471313,48620
2017-12-04,1313.500000,1329.300049,1301.849976,1316.675049,1178.724365,35034
2017-12-05,1310.000000,1324.500000,1310.000000,1316.900024,1178.926025,23444
2017-12-06,2635.000000,2640.000000,2615.000000,2630.000000,2354.449707,19420
2017-12-07,1315.724976,1322.275024,1307.525024,1308.824951,1171.696777,34668
2017-12-08,1308.500000,1322.000000,1297.525024,1300.500000,1164.244019,38394
2017-12-11,1302.500000,1333.500000,1302.500000,1328.000000,1188.863037,33814
2017-12-12,1328.025024,1329.550049,1302.550049,1307.074951,1170.130127,63784
2017-12-13,1297.550049,1323.775024,1297.550049,1313.650024,1176.016724,55852
2017-12-14,1310.125000,1315.000000,1265.500000,1279.275024,1145.242920,113418
2017-12-15,1280.000000,1293.650024,1270.175049,1273.925049,1140.453369,70532
2017-12-18,1266.500000,1292.599976,1248.449951,1288.500000,1153.501465,88078
2017-12-19,1285.000000,1298.699951,1283.750000,1287.525024,1152.628784,52882
2017-12-20,1285.000000,1296.000000,1270.000000,1294.000000,1158.425171,313914
2017-12-21,1295.000000,1303.449951,1278.349976,1297.050049,1161.155762,34050
2017-12-22,1300.000000,1329.949951,1295.000000,1319.900024,1181.611694,181640
2017-12-26,1337.525024,1344.000000,1317.500000,1321.400024,1182.954590,133142
2017-12-27,1318.050049,1328.974976,1305.525024,1310.525024,1173.218750,31994
2017-12-28,1301.500000,1325.000000,1300.599976,1314.425049,1176.710327,64402
2017-12-29,1307.500000,1355.849976,1307.500000,1350.199951,1208.736938,187112
2018-01-01,1344.900024,1346.250000,1321.425049,1327.324951,1188.258789,72202
2018-01-02,1321.474976,1338.724976,1311.349976,1316.875000,1178.903442,45568
2018-01-03,1317.000000,1332.025024,1315.074951,1317.599976,1179.552490,40080
2018-01-04,1330.000000,1330.000000,1320.199951,1324.900024,1186.087646,29218
2018-01-05,1325.500000,1347.000000,1325.500000,1342.224976,1201.597534,98284
2018-01-08,1347.500000,1360.675049,1340.724976,1353.875000,1212.026978,56746
2018-01-09,1355.000000,1361.650024,1339.449951,1354.224976,1212.340332,83554
2018-01-10,1356.000000,1408.000000,1348.724976,1403.550049,1256.497192,196244
2018-01-11,1403.599976,1410.000000,1390.949951,1394.199951,1248.127075,140630
2018-01-12,1406.500000,1406.500000,1372.000000,1386.449951,1241.188965,171892
2018-01-15,1395.000000,1401.525024,1368.074951,1373.599976,1229.685303,64996
2018-01-16,1374.099976,1430.000000,1374.099976,1425.425049,1276.080688,277772
2018-01-17,1428.550049,1462.500000,1428.500000,1444.724976,1293.358154,305872
2018-01-18,1447.500000,1462.500000,1433.300049,1455.050049,1302.601929,105898
2018-01-19,1460.000000,1489.500000,1451.525024,1477.375000,1322.587524,109434
2018-01-22,1478.000000,1565.000000,1462.000000,1556.574951,1396.798706,443890
2018-01-23,1557.500000,1568.875000,1546.300049,1551.550049,1392.289429,614352
2018-01-24,1550.000000,1627.400024,1540.000000,1587.300049,1424.369995,762348
2018-01-25,1590.000000,1590.500000,1540.000000,1558.925049,1398.907471,174444
2018-01-29,1559.025024,1612.000000,1559.000000,1597.550049,1433.568115,159372
2018-01-30,1559.500000,1599.625000,1559.500000,1576.849976,1414.992676,88726
2018-01-31,1565.500000,1573.550049,1550.500000,1555.875000,1396.170410,301576
2018-02-01,1560.000000,1594.500000,1545.775024,1569.449951,1408.352295,127464
2018-02-02,1557.500000,1595.000000,1552.824951,1574.574951,1412.951294,510204
2018-02-05,1555.500000,1592.949951,1539.175049,1553.250000,1393.815063,462518
2018-02-06,1515.000000,1538.925049,1492.900024,1497.675049,1343.944946,1039270
2018-02-07,1507.500000,1522.000000,1475.000000,1477.675049,1325.997681,251898
2018-02-08,1485.500000,1513.375000,1478.599976,1483.125000,1330.888306,2542808
2018-02-09,1480.000000,1495.875000,1450.000000,1486.150024,1333.602661,118202
2018-02-12,1504.000000,1509.000000,1478.000000,1483.949951,1331.628418,2393374
2018-02-14,1482.500000,1487.000000,1447.125000,1455.224976,1305.851685,111846
2018-02-15,1464.500000,1471.250000,1453.300049,1462.875000,1312.716675,101492
2018-02-16,1462.500000,1499.500000,1462.000000,1468.599976,1317.853882,608620
2018-02-19,1470.000000,1476.224976,1449.199951,1462.275024,1312.178223,167344
2018-02-20,1465.000000,1491.724976,1464.550049,1472.525024,1321.376221,82030
2018-02-21,1480.500000,1530.000000,1480.500000,1521.525024,1365.346680,249970
2018-02-22,1522.500000,1538.974976,1511.275024,1520.199951,1364.157349,149406
